id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-375633,2023-03-24,000001,Vente,230000.0,7,,RTE DE LAUZERVILLE,0066,31570,31439,Préserville,31,,,31439000ZH0271,,,,,,,,,,,,,0,1,Maison,81,4,S,sols,,,891.0,1.627324,43.526346
2023-375634,2023-03-30,000001,Vente,170000.0,6,,IMP SIMONE DE BEAUVOIR,8255,31200,31555,Toulouse,31,,,31555830AY0055,,,107,60.05,,,,,,,,,1,2,Appartement,60,3,,,,,,1.430564,43.656423
2023-375637,2023-03-30,000001,Vente,525000.0,88,,AV JEAN CHAUBET,4540,31500,31555,Toulouse,31,,,31555835AH0068,,,,,,,,,,,,,0,1,Maison,135,5,S,sols,,,497.0,1.47384,43.603868
2023-375638,2023-03-17,000001,Vente,290000.0,32,,RTE DE MAUREMONT,0110,31290,31589,Villenouvelle,31,,,315890000B0800,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,1000.0,1.664806,43.438628
2023-375639,2023-03-20,000001,Vente,380000.0,52,,RUE PASTEUR,6560,31400,31555,Toulouse,31,,,31555813AD0251,,,,,,,,,,,,,0,1,Maison,89,3,S,sols,,,68.0,1.44637,43.58612
2023-375640,2023-03-21,000001,Vente,88904.0,41,,RUE PAUL VALERY,6652,31200,31555,Toulouse,31,,,31555831AV0086,,,49,,,,,,,,,,1,2,Appartement,33,2,,,,,,1.44778,43.63526
2023-375641,2023-03-16,000001,Vente,530000.0,17,,RUE AUGER GAILLARD,0089,31130,31044,Balma,31,,,31044000BO0114,,,,,,,,,,,,,0,1,Maison,105,4,S,sols,,,621.0,1.505076,43.602412
2023-375642,2023-03-09,000001,Vente,350000.0,9000,,TRUCOPORES,B033,31450,31151,Corronsac,31,,,311510000B0536,,,,,,,,,,,,,0,1,Maison,152,4,AG,terrains d'agrément,PARC,Parc,3047.0,1.49816,43.47316
2023-375642,2023-03-09,000001,Vente,350000.0,9000,,TRUCOPORES,B033,31450,31151,Corronsac,31,,,311510000B0536,,,,,,,,,,,,,0,1,Maison,152,4,S,sols,,,1000.0,1.49816,43.47316
2023-375645,2023-03-06,000001,Vente,647742.0,3,,RUE DU PORTILLON,7032,31400,31555,Toulouse,31,,,315558370Z0058,,,,,,,,,,,,,0,1,Maison,138,5,S,sols,,,482.0,1.479722,43.578609
2023-375649,2023-03-28,000001,Vente,178000.0,13,,AV DES GUIS,1490,31830,31424,Plaisance-du-Touch,31,,,31424000BW0787,,,,,,,,,,,,,0,1,Maison,65,4,S,sols,,,411.0,1.309572,43.558226
2023-375652,2023-03-31,000001,Vente,165000.0,6,,RUE DES PAS SAGES,0227,31320,31409,Péchabou,31,,,31409000AH0042,,,218,,241,,,,,,,,2,2,Appartement,81,4,,,,,,1.515037,43.502615
2023-375653,2023-04-05,000001,Vente,290000.0,25,,RTE D'ESPAGNE,3064,31100,31555,Toulouse,31,,,31555842AE0527,,,1245,,1285,,,,,,,,2,2,Appartement,111,5,,,,,,1.425463,43.577876
2023-375654,2023-03-22,000001,Vente,275500.0,9,,RUE DU 5 AVRIL 1991,0023,31150,31182,Fenouillet,31,,,31182000AP0111,,,1,77.76,,,,,,,,,1,1,Maison,78,4,,,,,,,
2023-375655,2023-03-23,000001,Vente,493600.0,4,,RUE DU PIC DU GAR,0401,31750,31169,Escalquens,31,,,31169000ZA0480,,,,,,,,,,,,,0,1,Maison,150,6,S,sols,,,945.0,1.554343,43.522487
2023-375657,2023-03-23,000001,Vente,201833.0,291,,CHE DU TUCAUT,0720,31270,31157,Cugnaux,31,,,31157000AP0081,,,154,,52,,,,,,,,2,2,Appartement,71,3,,,,,,1.363616,43.558022
2023-375658,2023-03-17,000001,Vente,90000.0,33,,CHE DE RAMELET MOUNDI,7260,31100,31555,Toulouse,31,,,31555843AW0019,,,153,,,,,,,,,,1,2,Appartement,29,1,,,,,,1.390399,43.585347
2023-375659,2023-03-16,000001,Vente,124000.0,28,,BD DE LA MARNE,5708,31400,31555,Toulouse,31,,,31555811AC0283,,,408,,92,,,,,,,,2,2,Appartement,26,1,,,,,,1.462352,43.581957
2023-375661,2023-03-31,000001,Vente,241000.0,6,,RUE ROBERT ARON,7525,31100,31555,Toulouse,31,,,31555842BL0242,,,24,,,,,,,,,,1,1,Maison,81,4,,,,,,1.390111,43.574244
2023-375662,2023-03-21,000001,Vente,369500.0,6,,ALL DU NIGER,6280,31000,31555,Toulouse,31,,,31555827AE0181,,,235,,522,,,,,,,,2,2,Appartement,74,3,,,,,,1.430351,43.604108
2023-375663,2023-03-31,000001,Vente,95000.0,3,,AV DE GIBEL,0110,31560,31100,Calmont,31,,,31100000AK0163,,,,,,,,,,,,,0,1,Maison,55,3,S,sols,,,42.0,1.633605,43.287729
2023-375664,2023-03-28,000001,Vente,114750.0,21,,ALL DU MACONNAIS,0774,31770,31149,Colomiers,31,,,31149000AR0460,,,131,,,,,,,,,,1,2,Appartement,39,2,,,,,,1.328935,43.620744
2023-375665,2023-03-21,000001,Vente,205550.0,3,,IMP AMPERE,0268,31400,31555,Toulouse,31,,,31555839AB0486,,,125,,26,,,,,,,,2,2,Appartement,68,4,,,,,,1.446982,43.572672
2023-375666,2023-03-31,000001,Vente,151500.0,43,,BD SILVIO TRENTIN,8356,31200,31555,Toulouse,31,,,31555829AX0237,,,16,40.08,,,,,,,,,1,2,Appartement,41,2,,,,,,1.429027,43.624861
2023-375667,2023-03-10,000001,Vente,377400.0,13,,RUE FRANCOIS MARIE VOLTAIRE,0295,31270,31157,Cugnaux,31,,,31157000BM0268,,,,,,,,,,,,,0,1,Maison,102,4,S,sols,,,744.0,1.336416,43.546139
2023-375668,2023-03-10,000001,Vente,282940.0,135,,CHE DE LA SALADE PONSAN,8088,31400,31555,Toulouse,31,,,31555839AC0181,,,302,,,,,,,,,,1,2,Appartement,78,4,,,,,,1.449818,43.568882
2023-375669,2023-03-14,000001,Vente,360000.0,26,,IMP DE LA TERRASSE,8437,31500,31555,Toulouse,31,,,31555808AH0348,,,43,,,,,,,,,,1,2,Appartement,90,4,,,,,,1.477257,43.590181
2023-375670,2023-03-16,000001,Vente,260000.0,10,,RUE JEAN PIERRE PETIT,0544,31700,31069,Blagnac,31,,,31069000AD0333,,,36,84.27,79,,,,,,,,2,1,Maison,84,4,,,,,,1.371433,43.654489
2023-375671,2023-03-14,000001,Vente,161000.0,136,,RTE DE SEYSSES,8244,31100,31555,Toulouse,31,,,31555840AT0467,,,35,,58,,,,,,,,2,2,Appartement,68,3,,,,,,1.403319,43.558771
2023-375673,2023-03-24,000001,Vente,931000.0,25,,RUE BROUARDEL,1436,31000,31555,Toulouse,31,,,31555827AC0237,,,,,,,,,,,,,0,1,Maison,180,7,S,sols,,,268.0,1.42594,43.609272
2023-375675,2023-03-13,000001,Vente,137389.0,3,,RUE DIDIER DAURAT,0046,31700,31150,Cornebarrieu,31,,,31150000AV0611,,,42,,43,,64,,,,,,3,2,Appartement,31,3,,,,,,1.315628,43.648881
2023-375676,2023-03-31,000001,Vente,155000.0,8,,RUE CECILE BRUNSCHVICG,1814,31200,31555,Toulouse,31,,,31555801AD0409,,,222,,,,,,,,,,1,2,Appartement,44,2,,,,,,1.422591,43.612752
2023-375677,2023-03-16,000001,Vente,264500.0,14,B,RUE DES JARDINS DE TEOLARIO,0078,31840,31032,Aussonne,31,,,31032000ZA0263,,,2,,,,,,,,,,1,1,Maison,93,4,,,,,,1.312616,43.684686
2023-375680,2023-03-23,000001,Vente,200000.0,65,,AV DE SAINT EXUPERY,7772,31400,31555,Toulouse,31,,,31555810AD0487,,,11,,,,,,,,,,1,2,Appartement,42,2,,,,,,1.466579,43.585829
2023-375682,2023-03-30,000001,Vente,144000.0,6,,CHEM DU DOCTEUR DIDIER DASQUE,2693,31400,31555,Toulouse,31,,,31555839BC0085,,,165,,31,,,,,,,,2,2,Appartement,37,2,,,,,,1.454084,43.555512
2023-375683,2023-03-31,000001,Vente,114500.0,1,,RUE ST GUILHEM,7812,31400,31555,Toulouse,31,,,31555812AC0166,,,120,,84,,,,,,,,2,2,Appartement,38,2,,,,,,1.448349,43.581465
2023-375684,2023-03-13,000001,Vente,147000.0,10,,RUE BERTHY ALBRECHT,1106,31300,31555,Toulouse,31,,,31555845AT0160,,,42,,,,,,,,,,1,2,Appartement,49,2,,,,,,1.370039,43.60212
2023-375685,2023-03-17,000001,Vente,165500.0,3,,IMP DES ALPAGES,0214,31400,31555,Toulouse,31,,,31555839AK0160,,,284,,,,,,,,,,1,2,Appartement,46,2,,,,,,1.465809,43.553698
2023-375686,2023-03-29,000001,Vente,43800.0,251,,LA VILLE,B217,31540,31478,Saint-Félix-Lauragais,31,,,314780000N0650,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,55.0,1.887309,43.449636
2023-375688,2023-03-23,000001,Vente,359750.0,32,,RUE DU COTEAU DE FRANCE,0066,31280,31163,Drémil-Lafage,31,,,31163000AB0033,,,,,,,,,,,,,0,1,Maison,125,5,S,sols,,,1333.0,1.598202,43.595892
2023-375689,2023-03-22,000001,Vente,168201.0,19,B,RUE MONTPLAISIR,0134,31490,31291,Léguevin,31,,,31291000AZ0046,,,3,,,,,,,,,,1,1,Maison,71,3,,,,,,1.229675,43.599462
2023-375690,2023-03-21,000001,Vente,155000.0,80,,RTE D'AGDE,0080,31500,31555,Toulouse,31,,,31555834AH0273,,,81,,,,,,,,,,1,2,Appartement,41,2,,,,,,1.476433,43.625495
2023-375691,2023-03-31,000001,Vente,312500.0,12,,RES DU LAC,A004,31840,31032,Aussonne,31,,,31032000ZM0407,,,,,,,,,,,,,0,1,Maison,109,6,S,sols,,,970.0,1.311123,43.673984
2023-375693,2023-03-20,000001,Vente,218000.0,85,B,AV DES NOBLES,0180,31140,31282,Launaguet,31,,,31282000AC0264,,,27,,46,,,,,,,,2,2,Appartement,77,3,,,,,,1.449795,43.671011
2023-375695,2023-03-17,000001,Vente,130000.0,40,B,AV MAURICE BOURGES-MAUNOURY,5789,31200,31555,Toulouse,31,,,31555831AW0618,,,125,,,,,,,,,,1,2,Appartement,54,3,,,,,,1.453333,43.637725
2023-375696,2023-03-24,000001,Vente,210000.0,8,,IMP LAFFAGE,0206,31330,31341,Merville,31,,,313410000C2134,,,,,,,,,,,,,0,1,Maison,70,3,S,sols,,,122.0,,
2023-375697,2023-03-29,000001,Vente,128000.0,21,,CHE DE LESPINASSE,0190,31140,31022,Aucamville,31,,,31022000AB0001,,,13,55.29,,,,,,,,,1,2,Appartement,57,3,,,,,,1.419397,43.675951
2023-375698,2023-03-23,000001,Vente,324000.0,6,,RUE DES GALLOIS,3688,31400,31555,Toulouse,31,,,31555813AB0640,,,60,,72,,,,,,,,2,2,Appartement,70,3,,,,,,1.442539,43.589444
2023-375699,2023-03-11,000001,Vente,105000.0,55,,CHE DU BOIS DE SAGET,0090,31240,31488,Saint-Jean,31,,,31488000AT0138,,,5,42,,,,,,,,,1,2,Appartement,42,2,,,,,,1.497652,43.660734
2023-375701,2023-03-30,000001,Vente,199700.0,17,,CHE RAYNAL,7324,31200,31555,Toulouse,31,,,31555831AR0236,,,208,,235,,,,,,,,2,2,Appartement,80,4,,,,,,1.450591,43.627032
2023-375703,2023-03-24,000001,Vente,405900.0,26,,CHE D'EN MARTEL,0090,31450,31192,Fourquevaux,31,,,311920000B0567,,,,,,,,,,,,,0,1,Maison,143,5,S,sols,,,1706.0,1.622861,43.503433
2023-375704,2023-03-30,000001,Vente,285000.0,37,,RUE JULES BERSAC,0098,31620,31202,Fronton,31,,,312020000N1038,,,,,,,,,,,,,0,1,Maison,58,2,S,sols,,,137.0,1.388014,43.841716
2023-375706,2023-03-22,000001,Vente,280000.0,6,,ALL DU NIGER,6280,31000,31555,Toulouse,31,,,31555827AE0181,,,405,,,,,,,,,,1,2,Appartement,50,2,,,,,,1.430351,43.604108
2023-375707,2023-03-15,000001,Vente,350530.0,42,,CHE SALINIE,8120,31100,31555,Toulouse,31,,,31555843BB0165,,,,,,,,,,,,,0,1,Maison,97,4,S,sols,,,665.0,1.380001,43.592816
2023-375708,2023-03-28,000001,Vente,395565.0,27,,RUE JEAN MERMOZ,2240,31170,31557,Tournefeuille,31,,,31557000AM0282,,,,,,,,,,,,,0,1,Maison,100,8,S,sols,,,597.0,1.352004,43.589339
2023-375709,2023-04-05,000001,Vente,232500.0,23,,RUE PIGNI,6928,31500,31555,Toulouse,31,,,31555834AO0258,,,3,,,,,,,,,,1,2,Appartement,74,3,,,,,,1.47651,43.607487
2023-375710,2023-03-17,000001,Vente,65000.0,42,,AV MAURICE BOURGES-MAUNOURY,5789,31200,31555,Toulouse,31,,,31555831AW0618,,,109,60.74,,,,,,,,,1,2,Appartement,59,3,,,,,,1.453333,43.637725
2023-375712,2023-03-31,000001,Vente,370000.0,22,,AV SAINT MARTIN DE BOVILLE,0815,31130,31044,Balma,31,,,31044000BN0262,,,,,,,,,,,,,0,1,Maison,96,4,S,sols,,,628.0,1.503589,43.596863
2023-375713,2023-03-20,000001,Vente,127000.0,11,,RUE DU CANADA,1598,31200,31555,Toulouse,31,,,31555830AS0170,,,108,67.43,118,,,,,,,,2,2,Appartement,67,4,,,,,,1.43241,43.633522
2023-375714,2023-03-10,000001,Vente,138500.0,10,,RUE DU PONT MONTAUDRAN,7008,31000,31555,Toulouse,31,,,31555815AC0171,,,134,,279,30.4,,,,,,,2,2,Appartement,30,1,,,,,,1.455694,43.598558
2023-375715,2023-03-22,000001,Vente,556550.0,5,,LOT LES TERRASSES DE REBIGUE,A002,31320,31448,Rebigue,31,,,314480000A0321,,,,,,,,,,,,,0,1,Maison,194,6,S,sols,,,1000.0,1.474706,43.490728
2023-375715,2023-03-22,000001,Vente,556550.0,5,,LOT LES TERRASSES DE REBIGUE,A002,31320,31448,Rebigue,31,,,314480000A0321,,,,,,,,,,,,,0,1,Maison,194,6,AG,terrains d'agrément,PARC,Parc,523.0,1.474706,43.490728
2023-375719,2023-03-10,000001,Vente,100000.0,35,,RUE GAMBETTA,3692,31000,31555,Toulouse,31,,,31555818AB0189,,,74,,80,18.68,,,,,,,2,2,Appartement,20,1,,,,,,1.442131,43.603862
2023-375720,2023-03-23,000001,Vente,444900.0,4,,CHE DE NAUCOU,0730,31780,31116,Castelginest,31,,,31116000AH0077,,,,,,,,,,,,,0,1,Maison,134,4,S,sols,,,449.0,1.441461,43.698716
2023-375721,2023-03-20,000001,Vente,400000.0,21,,RUE JULES LEMAITRE,4820,31500,31555,Toulouse,31,,,31555805AB0268,,,,,,,,,,,,,0,2,Appartement,26,2,S,sols,,,173.0,1.460102,43.622802
2023-375721,2023-03-20,000001,Vente,400000.0,21,,RUE JULES LEMAITRE,4820,31500,31555,Toulouse,31,,,31555805AB0268,,,,,,,,,,,,,0,2,Appartement,45,2,S,sols,,,173.0,1.460102,43.622802
2023-375721,2023-03-20,000001,Vente,400000.0,21,,RUE JULES LEMAITRE,4820,31500,31555,Toulouse,31,,,31555805AB0268,,,,,,,,,,,,,0,2,Appartement,45,2,S,sols,,,173.0,1.460102,43.622802
2023-375721,2023-03-20,000001,Vente,400000.0,21,,RUE JULES LEMAITRE,4820,31500,31555,Toulouse,31,,,31555805AB0268,,,,,,,,,,,,,0,2,Appartement,45,2,S,sols,,,173.0,1.460102,43.622802
2023-375721,2023-03-20,000001,Vente,400000.0,21,,RUE JULES LEMAITRE,4820,31500,31555,Toulouse,31,,,31555805AB0268,,,,,,,,,,,,,0,2,Appartement,35,2,S,sols,,,173.0,1.460102,43.622802
2023-375721,2023-03-20,000001,Vente,400000.0,21,,RUE JULES LEMAITRE,4820,31500,31555,Toulouse,31,,,31555805AB0268,,,,,,,,,,,,,0,2,Appartement,45,2,S,sols,,,173.0,1.460102,43.622802
2023-375723,2023-03-27,000001,Vente,220000.0,41,A,RUE DE L EGLISE,0370,31620,31118,Castelnau-d'Estrétefonds,31,,,311180000A0883,,,,,,,,,,,,,0,1,Maison,81,3,S,sols,,,68.0,1.358852,43.784815
2023-375724,2023-03-27,000001,Vente,628000.0,6,,ALL DE LA MADELOC,0775,31770,31149,Colomiers,31,,,31149000BO0104,,,,,,,,,,,,,0,2,Appartement,145,5,S,sols,,,925.0,1.346216,43.601011
2023-375724,2023-03-27,000001,Vente,628000.0,6,,ALL DE LA MADELOC,0775,31770,31149,Colomiers,31,,,31149000BO0104,,,,,,,,,,,,,0,2,Appartement,57,2,S,sols,,,925.0,1.346216,43.601011
2023-375726,2023-03-30,000001,Vente,181100.0,2,,CHEM ENRICO CARUSO,3017,31200,31555,Toulouse,31,,,31555802AD0254,,,120,,156,,,,,,,,2,2,Appartement,63,3,,,,,,1.426287,43.61258
2023-375728,2023-03-21,000001,Vente en l'état futur d'achèvement,305000.0,19,,RUE ANDRE TURCAT,0338,31300,31555,Toulouse,31,,,31555845AS0092,,,96,,,,,,,,,,1,2,Appartement,95,4,,,,,,1.367841,43.596987
2023-375729,2023-04-03,000001,Vente,251320.0,16,B,RUE DES JARDINS DE TEOLARIO,0078,31840,31032,Aussonne,31,,,31032000ZA0454,,,,,,,,,,,,,0,1,Maison,78,4,S,sols,,,281.0,1.313244,43.684701
2023-375730,2023-03-23,000001,Vente,421000.0,39,,RUE DE LATCHE,0082,31700,31056,Beauzelle,31,,,31056000AD0067,,,,,,,,,,,,,0,1,Maison,107,5,S,sols,,,599.0,1.385524,43.665247
2023-375731,2023-03-30,000001,Vente,98000.0,180,,ALL DU PUYMORENS,0324,31330,31341,Merville,31,,,313410000E1959,,,47,,,,,,,,,,1,2,Appartement,41,2,,,,,,,
2023-375733,2023-03-22,000001,Vente,325000.0,24,B,LOT JARDINS DU CHATEAU D EAU,A041,31840,31032,Aussonne,31,,,31032000ZA0369,,,,,,,,,,,,,0,1,Maison,124,5,S,sols,,,833.0,1.314299,43.687365
2023-375734,2023-04-03,000001,Vente,312275.0,48,,LOT LE VILLAGE,A060,31840,31032,Aussonne,31,,,31032000ZB0308,,,,,,,,,,,,,0,1,Maison,96,4,S,sols,,,392.0,1.316092,43.684265
2023-375735,2023-03-29,000001,Vente,407000.0,29,,RUE DE LA DIGUE,1520,31170,31557,Tournefeuille,31,,,31557000BM0163,,,,,,,,,,,,,0,1,Maison,92,4,S,sols,,,519.0,1.346381,43.57682
2023-375736,2023-03-09,000001,Vente,377650.0,11,,DOM DU TRICOU,A010,31670,31254,Labège,31,,,31254000AO0189,,,,,,,,,,,,,0,1,Maison,106,5,S,sols,,,382.0,1.53659,43.537809
2023-375737,2023-03-28,000001,Vente,249100.0,63,D,SOULEILLA DE LASSERRE,B030,31450,31151,Corronsac,31,,,311510000B0304,,,,,,,,,,,,,0,1,Maison,204,6,AG,terrains d'agrément,PARC,Parc,772.0,1.508865,43.47435
2023-375737,2023-03-28,000001,Vente,249100.0,63,D,SOULEILLA DE LASSERRE,B030,31450,31151,Corronsac,31,,,311510000B0304,,,,,,,,,,,,,0,1,Maison,204,6,S,sols,,,700.0,1.508865,43.47435
2023-375739,2023-03-21,000001,Vente,88404.0,3,,BD DES MINIMES,5960,31200,31555,Toulouse,31,,,31555804AE0073,,,260,83.64,,,,,,,,,1,2,Appartement,80,5,,,,,,1.450306,43.614852
2023-375741,2023-03-31,000001,Vente,157000.0,11,,IMP DE LA FONT D'ESTEVE,0094,31480,31098,Cadours,31,,,31098000ZA0181,,,,,,,,,,,,,0,1,Maison,91,4,S,sols,,,197.0,1.052686,43.731271
2023-375742,2023-03-31,000001,Vente,120000.0,1,,RUE DE LA GRANGE,0035,31530,31507,Saint-Paul-sur-Save,31,,,315070000A1339,,,186,,187,,55,,,,,,3,2,Appartement,55,3,,,,,,1.221445,43.698437
2023-375743,2023-03-27,000001,Vente,210000.0,4,,RUE XAVIER DARASSE,8963,31500,31555,Toulouse,31,,,31555836BH0146,,,120,,408,,,,,,,,2,2,Appartement,64,3,,,,,,1.480382,43.590677
2023-375744,2023-03-22,000001,Vente,1290000.0,133,,RUE DU FAUBOURG BONNEFOY,3204,31500,31555,Toulouse,31,,,31555804AC0473,,,,,,,,,,,,,0,2,Appartement,20,1,S,sols,,,145.0,1.457565,43.621096
2023-375744,2023-03-22,000001,Vente,1290000.0,133,,RUE DU FAUBOURG BONNEFOY,3204,31500,31555,Toulouse,31,,,31555804AC0473,,,,,,,,,,,,,0,2,Appartement,36,2,S,sols,,,145.0,1.457565,43.621096
2023-375744,2023-03-22,000001,Vente,1290000.0,133,,RUE DU FAUBOURG BONNEFOY,3204,31500,31555,Toulouse,31,,,31555804AC0473,,,,,,,,,,,,,0,2,Appartement,19,1,S,sols,,,145.0,1.457565,43.621096
2023-375744,2023-03-22,000001,Vente,1290000.0,133,,RUE DU FAUBOURG BONNEFOY,3204,31500,31555,Toulouse,31,,,31555804AC0473,,,,,,,,,,,,,0,2,Appartement,36,2,S,sols,,,145.0,1.457565,43.621096
2023-375744,2023-03-22,000001,Vente,1290000.0,133,,RUE DU FAUBOURG BONNEFOY,3204,31500,31555,Toulouse,31,,,31555804AC0473,,,,,,,,,,,,,0,2,Appartement,48,2,S,sols,,,145.0,1.457565,43.621096
2023-375744,2023-03-22,000001,Vente,1290000.0,133,,RUE DU FAUBOURG BONNEFOY,3204,31500,31555,Toulouse,31,,,31555804AC0473,,,,,,,,,,,,,0,2,Appartement,52,3,S,sols,,,145.0,1.457565,43.621096
2023-375744,2023-03-22,000001,Vente,1290000.0,133,,RUE DU FAUBOURG BONNEFOY,3204,31500,31555,Toulouse,31,,,31555804AC0473,,,,,,,,,,,,,0,2,Appartement,58,3,S,sols,,,145.0,1.457565,43.621096
2023-375745,2023-03-07,000001,Vente,239250.0,39,,BD RICHARD WAGNER,7468,31300,31555,Toulouse,31,,,31555846AK0408,,,66,64.05,92,,,,,,,,2,2,Appartement,65,3,,,,,,1.419182,43.604006
2023-375746,2023-03-13,000001,Vente,100000.0,20,,RUE SAINT LEON,7884,31400,31555,Toulouse,31,,,31555813AD0207,,,12,,46,,,,,,,,2,2,Appartement,37,2,,,,,,1.446259,43.58488
2023-375748,2023-04-03,000001,Vente,225000.0,14,,RUE DE LA PEGOU,0006,31620,31079,Bouloc,31,,,31079000AV0058,,,,,,,,,,,,,0,1,Maison,66,3,S,sols,,,1000.0,,
2023-375748,2023-04-03,000001,Vente,225000.0,14,,RUE DE LA PEGOU,0006,31620,31079,Bouloc,31,,,31079000AV0058,,,,,,,,,,,,,0,1,Maison,66,3,AG,terrains d'agrément,PARC,Parc,1333.0,,
2023-375749,2023-02-27,000001,Vente,180900.0,49,,AV DE GRANDE BRETAGNE,3984,31300,31555,Toulouse,31,,,31555844AD0242,,,67,,,,,,,,,,1,2,Appartement,53,2,,,,,,1.418841,43.597899
2023-375750,2023-04-03,000001,Vente,170000.0,10,,RUE DES ARCS ST CYPRIEN,0436,31300,31555,Toulouse,31,,,31555828AL0263,,,33,,,,,,,,,,1,2,Appartement,48,2,,,,,,1.422976,43.589721
2023-375751,2023-03-10,000001,Vente,200000.0,16,,GR GRANDE RUE SAINT MICHEL,7916,31400,31555,Toulouse,31,,,31555813AC0320,,,194,62.18,87,,,,,,,,2,2,Appartement,63,3,,,,,,1.448341,43.585299
2023-375752,2023-03-28,000001,Vente,267000.0,2,,RUE DES HIRONDELLES,0310,31520,31446,Ramonville-Saint-Agne,31,,,31446000AK0155,,,,,,,,,,,,,0,1,Maison,89,4,S,sols,,,345.0,1.472354,43.550791
2023-375753,2023-03-16,000001,Vente,195400.0,21,,PL DU SOUVENIR,0950,31340,31584,Villemur-sur-Tarn,31,,,315840000E0846,,,,,,,,,,,,,0,1,Maison,60,2,S,sols,,,168.0,1.506545,43.863563
2023-375754,2023-03-31,000001,Vente,251250.0,50,,RUE DES AMIDONNIERS,0252,31000,31555,Toulouse,31,,,31555827AD0524,,,36,68.13,8,,,,,,,,2,2,Appartement,69,3,,,,,,1.422538,43.606654
2023-375755,2023-03-23,000001,Vente,213000.0,34,B,RTE DE LAUNAGUET,5096,31200,31555,Toulouse,31,,,31555830AO0150,,,55,,63,,,,,,,,2,2,Appartement,68,4,,,,,,1.438236,43.628504
2023-375757,2023-03-06,000001,Vente,196300.0,6,,RUE SOPHIE SCHOLL,0686,31650,31506,Saint-Orens-de-Gameville,31,,,31506000BD0032,,,1,65.63,103,,125,,,,,,3,2,Appartement,66,3,,,,,,1.53981,43.54648
2023-375758,2023-03-30,000001,Vente,115000.0,97,,RUE REGUELONGUE,7364,31100,31555,Toulouse,31,,,31555841AW0012,,,64,47.51,,,,,,,,,1,2,Appartement,46,2,,,,,,1.373792,43.560891
2023-375759,2023-03-29,000001,Vente,485000.0,26,,RUE DE LA COLOMBE,0055,31590,31285,Lavalette,31,,,312850000B1121,,,,,,,,,,,,,0,1,Maison,142,5,S,sols,,,1325.0,1.591938,43.640949
2023-375763,2023-03-31,000001,Vente,220000.0,11,,RUE DES MAGNOLIAS,0322,31290,31582,Villefranche-de-Lauragais,31,,,315820000C1492,,,,,,,,,,,,,0,1,Maison,82,4,AB,terrains a bâtir,,,308.0,1.713508,43.412557
2023-375765,2023-03-30,000001,Vente,324800.0,3,,ALL DE FOURCAUDIS,0613,31770,31149,Colomiers,31,,,31149000AT0098,,,,,,,,,,,,,0,1,Maison,101,4,S,sols,,,314.0,1.322626,43.621428
2023-375766,2023-03-17,000001,Vente,135400.0,20,,RUE CURIE,0240,31340,31584,Villemur-sur-Tarn,31,,,315840000E0376,,,,,,,,,,,,,0,1,Maison,95,3,S,sols,,,60.0,1.50458,43.866368
2023-375767,2023-03-16,000001,Vente,143500.0,35,,RUE EDMOND ROSTAND,2888,31200,31555,Toulouse,31,,,31555831AI0452,,,123,44.1,,,,,,,,,1,2,Appartement,45,2,,,,,,1.463027,43.643541
2023-375770,2023-03-07,000001,Vente,165000.0,24,,RUE DES ARCS ST CYPRIEN,0436,31300,31555,Toulouse,31,,,31555828AL0240,,,14,,,,,,,,,,1,2,Appartement,49,2,,,,,,1.424159,43.589546
2023-375771,2023-04-05,000001,Vente,153500.0,10,,RUE DALAYRAC,2460,31000,31555,Toulouse,31,,,31555822AB0614,,,101,38.98,,,,,,,,,1,2,Appartement,42,2,,,,,,1.448729,43.607184
2023-375772,2023-03-29,000001,Vente,335000.0,119,,AV DE FRONTON,3620,31200,31555,Toulouse,31,,,31555830AS0083,,,303,,319,,,,,,,,2,2,Appartement,98,4,,,,,,1.431777,43.634861
2023-375773,2023-03-23,000001,Vente,245800.0,80,,CHE DU CHATEAU DE L HERS,1980,31500,31555,Toulouse,31,,,31555835AB0216,,,13,91.9,,,,,,,,,1,2,Appartement,94,4,,,,,,1.481546,43.602614
2023-375774,2023-03-20,000001,Vente,171400.0,9,,RUE DE TURIN,8648,31500,31555,Toulouse,31,,,31555804AD0360,,,2062,,2565,,,,,,,,2,2,Appartement,74,5,,,,,,1.453972,43.618695
2023-375775,2023-03-28,000001,Vente,111000.0,1,,ALL VICTOR HUGO,0750,31240,31488,Saint-Jean,31,,,31488000AD0390,,,63,,,,,,,,,,1,2,Appartement,50,2,,,,,,1.503587,43.664641
