id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2023-371245,2023-01-06,000001,Vente,356000.0,18,,RUE DES FLANDRES,3332,31500,31555,Toulouse,31,,,31555804AC0349,,,,,,,,,,,,,0,1,Maison,89,4,S,sols,,,250.0,1.455484,43.624016
2023-371246,2023-01-06,000001,Vente,162500.0,55,,RUE DU TAUR,8408,31000,31555,Toulouse,31,,,31555826AD0108,,,11,,12,,,,,,,,2,2,Appartement,30,1,,,,,,1.442233,43.606499
2023-371247,2023-01-09,000001,Vente,358000.0,42,,RTE DE CARAMAN,0003,31570,31271,Lanta,31,,,31271000ZM0038,,,,,,,,,,,,,0,1,Maison,139,5,AG,terrains d'agrément,PARC,Parc,2200.0,1.661169,43.560497
2023-371247,2023-01-09,000001,Vente,358000.0,42,,RTE DE CARAMAN,0003,31570,31271,Lanta,31,,,31271000ZM0038,,,,,,,,,,,,,0,1,Maison,139,5,S,sols,,,800.0,1.661169,43.560497
2023-371248,2023-01-04,000001,Vente,180000.0,10,,RUE ETIENNE BACQUIE,3112,31100,31555,Toulouse,31,,,31555842AH0467,,,9,,,,,,,,,,1,2,Appartement,93,5,,,,,,1.423144,43.572404
2023-371250,2023-01-05,000001,Vente,362000.0,46,,RES DES PYRENEES,A050,31130,31044,Balma,31,,,31044000BY0004,,,,,,,,,,,,,0,1,Maison,90,5,S,sols,,,187.0,1.492413,43.612881
2023-371251,2023-01-06,000001,Vente,196800.0,19,B,IMP DU CIMETIERE CROIX DAURADE,2048,31200,31555,Toulouse,31,,,31555831AI0510,,,20,65.06,,,,,,,,,1,2,Appartement,65,3,,,,,,1.463247,43.640136
2023-371253,2023-01-04,000001,Vente,215000.0,3,,RUE COLETTE,2175,31200,31555,Toulouse,31,,,31555830AR0380,,,31,,,,,,,,,,1,2,Appartement,85,4,,,,,,1.437077,43.633469
2023-371255,2023-01-06,000001,Vente,471600.0,21,,RUE DES JONQUILLES,0100,31530,31297,Lévignac,31,,,312970000D0716,,,,,,,,,,,,,0,1,Maison,165,5,S,sols,,,1264.0,1.190355,43.657587
2023-371256,2023-01-09,000001,Vente,115000.0,2,,RUE LUCIE AUBRAC,0167,31140,31282,Launaguet,31,,,31282000AC0349,,,42,49.86,,,,,,,,,1,2,Appartement,48,2,,,,,,1.453837,43.672773
2023-371257,2023-01-05,000001,Vente,83200.0,27,,RUE DES JUMEAUX,4844,31200,31555,Toulouse,31,,,31555804AE0016,,,41,,,,,,,,,,1,2,Appartement,22,1,,,,,,1.449491,43.615703
2023-371258,2023-01-05,000001,Vente,145000.0,1,,RUE DE ST LYS,7900,31400,31555,Toulouse,31,,,31555812AC0454,,,355,,444,,,,,,,,2,2,Appartement,62,4,,,,,,1.445477,43.583702
2023-371259,2023-01-04,000001,Vente,132500.0,65,,RTE DE LABEGE,4884,31400,31555,Toulouse,31,,,31555837AV0033,,,381,42.58,,,,,,,,,1,2,Appartement,41,2,,,,,,1.500811,43.562551
2023-371263,2023-01-06,000001,Vente,340000.0,1,,RUE JEAN CRUPPI,4557,31100,31555,Toulouse,31,,,31555843AV0090,,,,,,,,,,,,,0,1,Maison,93,4,S,sols,,,393.0,1.393894,43.582812
2023-371264,2023-01-09,000001,Vente,125500.0,7,,PL DU FER A CHEVAL,3240,31300,31555,Toulouse,31,,,31555828AH0214,,,386,,,,,,,,,,1,2,Appartement,28,1,,,,,,1.433576,43.593069
2023-371265,2023-01-06,000001,Vente,200000.0,7,,RUE COMERE,2228,31500,31555,Toulouse,31,,,31555807AD0112,,,3,62.45,6,,,,,,,,2,2,Appartement,74,1,,,,,,1.468646,43.602732
2023-371266,2023-01-06,000001,Vente,100000.0,85,,RUE ERNEST RENAN,3044,31200,31555,Toulouse,31,,,31555830AM0018,,,90,43.85,,,,,,,,,1,2,Appartement,44,2,,,,,,1.443529,43.63511
2023-371267,2023-01-04,000001,Vente,273500.0,103,,AV JULES JULIEN,4816,31400,31555,Toulouse,31,,,31555812AH0140,,,46,66.9,,,,,,,,,1,2,Appartement,65,3,,,,,,1.449424,43.577303
2023-371268,2023-01-09,000001,Vente,500000.0,110,,RTE DE LAVAUR,0211,31850,31389,Montrabé,31,,,31389000AE0022,,,,,,,,,,,,,0,2,Appartement,90,3,S,sols,,,958.0,1.5457,43.644807
2023-371268,2023-01-09,000001,Vente,500000.0,110,,RTE DE LAVAUR,0211,31850,31389,Montrabé,31,,,31389000AE0022,,,,,,,,,,,,,0,2,Appartement,90,3,S,sols,,,958.0,1.5457,43.644807
2023-371268,2023-01-09,000001,Vente,500000.0,110,,RTE DE LAVAUR,0211,31850,31389,Montrabé,31,,,31389000AE0022,,,,,,,,,,,,,0,2,Appartement,90,4,S,sols,,,958.0,1.5457,43.644807
2023-371269,2023-01-09,000001,Vente,249839.0,26,,IMP LAFFAGE,0206,31330,31341,Merville,31,,,313410000C2119,,,,,,,,,,,,,0,1,Maison,81,4,S,sols,,,121.0,,
2023-371270,2023-01-03,000001,Vente,130000.0,9,,RUE PAUL VERLAINE,2156,31830,31424,Plaisance-du-Touch,31,,,31424000BO0214,,,15,68.07,,,,,,,,,1,1,Maison,89,4,,,,,,1.309876,43.569067
2023-371274,2023-01-06,000001,Vente,356500.0,15,,AV DE LA GARONNETTE,3746,31000,31555,Toulouse,31,,,31555817AB0176,,,22,,,,,,,,,,1,2,Appartement,67,3,,,,,,1.441025,43.595699
2023-371275,2023-01-09,000001,Vente,341150.0,41,,RUE LOUIS PASTEUR,2460,31170,31557,Tournefeuille,31,,,31557000BO0455,,,,,,,,,,,,,0,1,Maison,114,5,S,sols,,,581.0,1.332659,43.569573
2023-371276,2023-01-03,000001,Vente,414770.0,7,,PL DES MOULINS,0111,31450,31381,Montgiscard,31,,,313810000H0492,,,,,,,,,,,,,0,1,Maison,166,7,S,sols,,,935.0,1.572334,43.454911
2023-371277,2023-01-10,000001,Vente,80000.0,162,,RUE PRIVAT,0200,31660,31066,Bessières,31,,,310660000B2838,,,157,,47,,,,,,,,2,2,Appartement,44,2,,,,,,1.601337,43.799534
2023-371278,2023-01-10,000001,Vente,76400.0,97,,RUE REGUELONGUE,7364,31100,31555,Toulouse,31,,,31555841AW0012,,,17,,,,,,,,,,1,2,Appartement,10,1,,,,,,1.373792,43.560891
2023-371279,2023-01-05,000001,Vente,108900.0,2,B,RUE DES IFS,4292,31500,31555,Toulouse,31,,,31555835AD0203,,,84,41.65,,,,,,,,,1,2,Appartement,43,2,,,,,,1.489298,43.594812
2023-371281,2023-01-11,000001,Vente,125000.0,1,,RUE SAINT JACQUES,0223,31330,31232,Grenade,31,,,31232000AY0017,,,2,,291,,390,,,,,,3,2,Appartement,60,3,,,,,,1.28961,43.769697
2023-371282,2023-01-06,000001,Vente,1473874.0,16,,AV BALANSA,0792,31500,31555,Toulouse,31,,,31555808AH0418,,,,,,,,,,,,,0,1,Maison,187,8,S,sols,,,601.0,1.472669,43.592185
2023-371283,2023-01-10,000001,Vente,172500.0,21,B,AV MAURICE BOURGES-MAUNOURY,5789,31200,31555,Toulouse,31,,,31555831AS0305,,,110,,,,,,,,,,1,2,Appartement,67,3,,,,,,1.449898,43.633274
2023-371284,2023-01-11,000001,Vente,162000.0,60,,CHE RAYNAL,7324,31200,31555,Toulouse,31,,,31555831AM0031,,,220,64.22,,,,,,,,,1,2,Appartement,64,3,,,,,,1.454975,43.629413
2023-371285,2023-01-06,000001,Vente,53900.0,23,,BD DE RATALENS,0637,31240,31488,Saint-Jean,31,,,31488000AN0041,,,230,,,,,,,,,,1,2,Appartement,19,1,,,,,,1.509117,43.64928
2023-371286,2023-01-11,000001,Vente,284564.0,30,,BD JEAN BRUNHES,4524,31300,31555,Toulouse,31,,,31555846AK0492,,,117,,147,85.82,,,,,,,2,2,Appartement,85,4,,,,,,1.418416,43.602863
2023-371287,2023-01-11,000001,Vente,115000.0,4,,ALL DU GEVAUDAN,0719,31770,31149,Colomiers,31,,,31149000CA0336,,,16,,,,,,,,,,1,2,Appartement,40,2,,,,,,1.335766,43.60896
2023-371288,2023-01-06,000001,Vente,73719.5,2,,RUE BARUCH SPINOZA,0051,31560,31396,Nailloux,31,,,313960000C1513,,,16,,,,,,,,,,1,2,Appartement,38,2,,,,,,1.623437,43.353669
2023-371289,2023-01-09,000001,Vente,170000.0,163,,CHE DE LANUSSE,5008,31200,31555,Toulouse,31,,,31555831AV0158,,,112,,,,,,,,,,1,2,Appartement,60,3,,,,,,1.445808,43.63582
2023-371290,2023-01-06,000001,Vente,162000.0,3,,RUE MARGUERITE DILHAN,5678,31300,31555,Toulouse,31,,,31555845AP0059,,,12,66.34,,,,,,,,,1,2,Appartement,66,3,,,,,,1.372924,43.5979
2023-371291,2023-01-03,000001,Vente,125000.0,36,,AV GEORGES POMPIDOU,0338,31270,31157,Cugnaux,31,,,31157000BP0598,,,45,,,,,,,,,,1,2,Appartement,64,3,,,,,,1.345775,43.535147
2023-371292,2023-01-13,000001,Vente,179000.0,8,B,AV SE CANTO,0203,31320,31113,Castanet-Tolosan,31,,,31113000BR0209,,,11,,,,,,,,,,1,2,Appartement,47,2,,,,,,1.510454,43.512325
2023-371293,2023-01-11,000001,Vente,347400.0,464,,CHE DE BOUCONNE,0005,31530,31356,Montaigut-sur-Save,31,,,313560000B1207,,,,,,,,,,,,,0,1,Maison,137,5,S,sols,,,3000.0,1.241437,43.672004
2023-371295,2023-01-13,000001,Vente,210000.0,11,,RUE SAINTE ODILE,8060,31100,31555,Toulouse,31,,,31555842AE0527,,,1129,,1243,,,,,,,,2,2,Appartement,80,2,,,,,,1.425463,43.577876
2023-371296,2023-01-05,000001,Vente,240400.0,31,,AV RAYMOND NAVES,7316,31500,31555,Toulouse,31,,,31555808AB0422,,,12,,5,,,,,,,,2,2,Appartement,54,2,,,,,,1.465994,43.599703
2023-371297,2023-01-10,000001,Vente,130000.0,198,,RTE DE LAUNAGUET,5096,31200,31555,Toulouse,31,,,31555830AI0708,,,88,,,,,,,,,,1,2,Appartement,56,3,,,,,,1.439427,43.645029
2023-371298,2023-01-12,000001,Vente,350800.0,62,,AV CAMILLE PUJOL,1584,31500,31555,Toulouse,31,,,31555808AB0062,,,19,,,,,,,,,,1,2,Appartement,79,4,,,,,,1.463034,43.600577
2023-371299,2023-01-12,000001,Vente,250000.0,5,,ALL DU NIGER,6280,31000,31555,Toulouse,31,,,31555827AE0176,,,75,,,,,,,,,,1,2,Appartement,50,2,,,,,,1.429735,43.60505
2023-371300,2023-01-11,000001,Vente,223125.0,12,,RUE JEAN PIERRE BLANCHARD,3492,31400,31555,Toulouse,31,,,31555813AC0034,,,21,,,,,,,,,,1,2,Appartement,44,1,,,,,,1.44803,43.587921
2023-371301,2023-01-12,000001,Vente,313000.0,117,,RUE DE LA PROVIDENCE,7172,31500,31555,Toulouse,31,,,31555807AD0601,,,39,,,,,,,,,,1,2,Appartement,63,3,,,,,,1.466543,43.601535
2023-371303,2023-01-04,000001,Vente,202000.0,22,,IMP BARTHE,0880,31200,31555,Toulouse,31,,,31555830AO0070,,,4,,,,,,,,,,1,2,Appartement,69,3,,,,,,1.439012,43.627794
2023-371304,2023-01-12,000001,Vente,172000.0,145,,CHE DE TOURNEFEUILLE,8532,31300,31555,Toulouse,31,,,31555845AT0048,,,20,59.73,,,,,,,,,1,2,Appartement,59,3,,,,,,1.372368,43.601307
2023-371305,2023-01-11,000001,Vente,193820.0,1,,IMP JEAN GABIN,0524,31700,31069,Blagnac,31,,,31069000AH0448,,,28,,,,,,,,,,1,2,Appartement,63,3,,,,,,1.376498,43.648563
2023-371307,2023-01-11,000001,Vente,96000.0,1,,RUE DES COTEAUX,0025,31530,31507,Saint-Paul-sur-Save,31,,,315070000A1310,,,51,41.29,,,,,,,,,1,2,Appartement,41,2,,,,,,1.221493,43.697793
2023-371308,2023-01-06,000001,Vente,246000.0,9,,RUE FELIX DEBAX,0320,31700,31069,Blagnac,31,,,31069000AZ0059,,,14,75.29,30,,,,,,,,2,2,Appartement,68,4,,,,,,1.398864,43.63273
2023-371309,2023-01-05,000001,Vente,106897.0,4,,PL ARNAUD BERNARD,0520,31000,31555,Toulouse,31,,,31555826AD0412,,,54,26.22,,,,,,,,,1,2,Appartement,28,1,,,,,,1.438665,43.610773
2023-371310,2023-01-10,000001,Vente,227070.0,85,,AV DE RANGUEIL,7268,31400,31555,Toulouse,31,,,31555838AE0056,,,50,59.92,,,,,,,,,1,2,Appartement,60,3,,,,,,1.459607,43.573663
2023-371311,2023-01-13,000001,Vente,161950.0,7,,BD D'ARCOLE,0428,31000,31555,Toulouse,31,,,31555824AB0023,,,322,,,,,,,,,,1,2,Appartement,50,2,,,,,,1.442302,43.610384
2023-371311,2023-01-13,000001,Vente,161950.0,7,,BD D'ARCOLE,0428,31000,31555,Toulouse,31,,,31555824AB0023,,,400,,,,,,,,,,1,2,Appartement,29,1,,,,,,1.442302,43.610384
2023-371312,2023-01-12,000001,Vente,166450.0,1,,ALL DES FELIBRES,0245,31520,31446,Ramonville-Saint-Agne,31,,,31446000AO0179,,,1102,,3102,,,,,,,,2,2,Appartement,64,3,,,,,,1.480137,43.542887
2023-371313,2023-01-13,000001,Vente,135000.0,16,,RUE SIMONE HENRY,8257,31200,31555,Toulouse,31,,,31555831BD0509,,,18,,,,,,,,,,1,2,Appartement,58,3,,,,,,1.450076,43.650593
2023-371314,2023-01-13,000001,Vente,332450.0,5,,RUE DU MEDECIN COL CALBAIRAC,2201,31100,31555,Toulouse,31,,,31555840AS0220,,,,,,,,,,,,,0,1,Maison,115,5,S,sols,,,562.0,1.411092,43.561805
2023-371315,2023-01-13,000001,Vente,188100.0,24,,RUE DES ARCS ST CYPRIEN,0436,31300,31555,Toulouse,31,,,31555828AL0262,,,37,,,,,,,,,,1,2,Appartement,49,2,,,,,,1.424262,43.589666
2023-371316,2023-01-03,000001,Vente,322300.0,9,,RUE DU PIC DE LA GELA,3013,31170,31557,Tournefeuille,31,,,31557000BX0567,,,,,,,,,,,,,0,1,Maison,85,4,S,sols,,,397.0,1.31731,43.580312
2023-371317,2023-01-13,000001,Vente,80000.0,76,,AV JEAN RIEUX,4652,31500,31555,Toulouse,31,,,31555810AB0633,,,7,,83,,,,,,,,2,2,Appartement,22,1,,,,,,1.463266,43.595269
2023-371318,2023-01-13,000001,Vente,261740.0,1,,CHE DU PARGET,0954,31770,31149,Colomiers,31,,,31149000CC0039,,,,,,,,,,,,,0,1,Maison,88,5,S,sols,,,166.0,1.327251,43.614005
2023-371319,2023-01-13,000001,Vente,136000.0,11,,AV DES MAZADES,5848,31200,31555,Toulouse,31,,,31555803AB0513,,,280,,,,,,,,,,1,2,Appartement,65,4,,,,,,1.43877,43.623681
2023-371320,2023-01-12,000001,Vente,90000.0,88,,AV YVES BRUNAUD,8972,31500,31555,Toulouse,31,,,31555834AC0137,,,9,,,,,,,,,,1,2,Appartement,37,2,,,,,,1.46641,43.618413
2023-371321,2023-01-13,000001,Vente,355000.0,3,,RUE ALBERT CAMUS,0015,31520,31446,Ramonville-Saint-Agne,31,,,31446000AB0081,,,1,,12,,,,,,,,2,1,Maison,89,4,,,,,,1.46621,43.534583
2023-371322,2023-01-05,000001,Vente,476000.0,5,,RUE DU GEAI,0243,31240,31561,L'Union,31,,,31561000AE0024,,,,,,,,,,,,,0,1,Maison,126,3,S,sols,,,941.0,1.475603,43.666902
2023-371323,2023-01-12,000001,Vente,134700.0,5,,RUE TESTOU,8440,31300,31555,Toulouse,31,,,31555846AK0151,,,17,,97,,,,,,,,2,2,Appartement,63,4,,,,,,1.415015,43.602113
2023-371324,2023-01-09,000001,Vente,157000.0,16,,RUE BERTHE MONMART,1102,31100,31555,Toulouse,31,,,31555841AX0151,,,26,56.01,,,,,,,,,1,2,Appartement,54,3,,,,,,1.3665,43.560415
2023-371326,2023-01-03,000001,Vente,56000.0,22,,RUE DE RIBOSI,0860,31490,31291,Léguevin,31,,,31291000AE0085,,,48,21.02,,,,,,,,,1,2,Appartement,20,1,,,,,,1.256138,43.60269
2023-371327,2023-01-10,000001,Vente,112500.0,3,,RUE DE L'AMANDIER,0228,31100,31555,Toulouse,31,,,31555840AS0005,,,4,,,,,,,,,,1,2,Appartement,72,3,,,,,,1.408939,43.563686
2023-371328,2023-01-09,000001,Vente,285550.0,7,,RUE HANS ANDERSEN,4100,31500,31555,Toulouse,31,,,31555834AT0131,,,,,,,,,,,,,0,1,Maison,68,4,S,sols,,,483.0,1.474599,43.611861
2023-371332,2023-01-12,000001,Vente,145203.0,3,,IMP MAURICE RAVEL,0580,31130,31044,Balma,31,,,31044000BY0432,,,27,67.91,34,,,,,,,,2,2,Appartement,67,4,,,,,,1.497686,43.611676
2023-371333,2023-01-11,000001,Vente,247850.0,63,,CHE DE LA SALADE PONSAN,8088,31400,31555,Toulouse,31,,,31555839AC0064,,,11,67.66,,,,,,,,,1,2,Appartement,67,3,,,,,,1.454274,43.564224
2023-371335,2023-01-02,000001,Vente,191000.0,29,,CHEM DU DOCTEUR DIDIER DASQUE,2693,31400,31555,Toulouse,31,,,31555839BC0082,,,128,,136,,42,50.96,,,,,3,2,Appartement,50,2,,,,,,1.45327,43.55612
2023-371336,2023-01-11,000001,Vente,269990.0,49,,RUE DURAND,2836,31200,31555,Toulouse,31,,,31555831AZ0064,,,11,,,,,,,,,,1,1,Maison,78,4,,,,,,1.444654,43.645225
2023-371337,2023-01-06,000001,Vente,193000.0,1,,RUE JACQUELINE AURIOL,0493,31700,31069,Blagnac,31,,,31069000AD0163,,,148,,220,,,,,,,,2,2,Appartement,60,3,,,,,,1.369425,43.654722
2023-371338,2023-01-10,000001,Vente,119000.0,6,,AV DES MAROTS,0788,31770,31149,Colomiers,31,,,31149000CH0219,,,37,40.66,,,,,,,,,1,2,Appartement,42,2,,,,,,1.325239,43.603216
2023-371339,2023-01-13,000001,Vente,173600.0,2,,ALL DES TAMARIS,1235,31770,31149,Colomiers,31,,,31149000CH0484,,,86,,,,,,,,,,1,2,Appartement,63,3,,,,,,1.326614,43.60333
2023-371340,2023-01-06,000001,Vente,160000.0,61,,RUE DES SABLES,7688,31200,31555,Toulouse,31,,,31555831BD0396,,,6,,,,,,,,,,1,2,Appartement,63,3,,,,,,1.44768,43.651972
2023-371341,2023-01-05,000001,Vente,137600.0,85,,ALL DU COMMINGES,0390,31770,31149,Colomiers,31,,,31149000CD0392,,,336,,,,,,,,,,1,2,Appartement,62,3,,,,,,1.328653,43.609457
2023-371344,2023-01-06,000001,Vente,243000.0,36,,CHE AZAIS,0752,31100,31555,Toulouse,31,,,31555842AH0399,,,,,,,,,,,,,0,1,Maison,48,2,S,sols,,,331.0,1.420314,43.57226
2023-371345,2023-01-05,000001,Vente,142000.0,6,,RUE DES BOUQUETINS,1339,31200,31555,Toulouse,31,,,31555831AZ0527,,,73,,,,,,,,,,1,2,Appartement,66,3,,,,,,1.446768,43.639489
2023-371346,2023-01-10,000001,Vente,77440.0,6,,RUE DE LA LLAGONE,0206,31100,31555,Toulouse,31,,,31555843AZ0475,,,218,,237,,,,,,,,2,2,Appartement,21,1,,,,,,1.378352,43.587244
2023-371347,2023-01-11,000001,Vente,221350.0,45,,RUE DU DOC PAUL VOIVENEL,2718,31200,31555,Toulouse,31,,,31555831AV0248,,,50,89.76,,,,,,,,,1,1,Maison,90,4,,,,,,,
2023-371349,2023-01-09,000001,Vente,299990.0,31,,RUE BROUARDEL,1436,31000,31555,Toulouse,31,,,31555827AC0246,,,309,67.35,,,,,,,,,1,2,Appartement,67,3,,,,,,1.424048,43.610536
2023-371351,2023-01-12,000001,Vente,250400.0,54,,RUE DU GENERAL BOURBAKI,3812,31200,31555,Toulouse,31,,,31555802AC0515,,,1,,,,,,,,,,1,2,Appartement,56,3,,,,,,1.435452,43.619056
2023-371352,2023-01-11,000001,Vente,214500.0,20,,CHE DU GARROUSSAL,0670,31770,31149,Colomiers,31,,,31149000AY0852,,,3,,,,,,,,,,1,2,Appartement,65,3,,,,,,1.339814,43.622745
